"date" "usdvnd" "eurusd" "usdcny" "usdjpy" "usdkrw" "usdsgd" "usdtwd" "usdthb"
2005-11-24 15914.5 1.17885 8.0838 118.915 1038.5 1.6907 33.5 41.175
2005-11-28 15907.5 1.18505 8.0855 118.82 1039.5 1.6905 33.605 41.215
2005-11-29 15903 1.17785 8.0783 119.67 1036.5 1.6933 33.525 41.175
2005-11-30 15912.5 1.17875 8.081 119.815 1037.5 1.6915 33.535 41.205
2005-12-01 15904 1.1738 8.0798 120.63 1038.5 1.6907 33.575 41.275
2005-12-05 15907.5 1.17895 8.0842 120.81 1037.5 1.6859 33.505 41.335
2005-12-06 15908 1.17785 8.0796 120.9 1034.5 1.6853 33.475 41.325
2005-12-07 15907.5 1.17255 8.0805 121.04 1036.5 1.6853 33.5 41.255
2005-12-08 15910 1.18195 8.0815 120.34 1034 1.6838 33.455 41.245
2005-12-12 15909.5 1.19545 8.0775 119.795 1031.5 1.6801 33.55 41.195
2005-12-13 15910 1.19445 8.078 119.955 1027.5 1.6748 33.445 41.115
2005-12-14 15907.5 1.19995 8.0777 117.39 1015.5 1.66945 33.375 40.985
2005-12-15 15907.5 1.19805 8.0767 116.22 1012 1.6676 33.11 40.945
2005-12-19 15916 1.20085 8.073 116.15 1016.5 1.6623 33.2 40.915
2005-12-20 15914.5 1.18595 8.076 117.245 1017.5 1.6664 33.255 40.885
2005-12-21 15912.5 1.18375 8.079 117.395 1018.5 1.6685 33.275 40.905
2005-12-22 15905 1.18665 8.0775 116.675 1016.5 1.6699 33.275 40.895
2005-12-26 15907.5 1.1845 8.079 116.31 1012.5 1.6664 33.1 40.915
2005-12-27 15902.5 1.18275 8.0775 117.425 1014 1.6679 33.15 40.915
2005-12-28 15892.5 1.18335 8.0768 117.945 1014.5 1.6665 33.125 40.975
2005-12-29 15904.5 1.18395 8.0735 117.84 1011.5 1.6654 32.925 40.995
2006-01-02 15917.5 1.1819 8.0735 117.925 1008.5 1.66245 32.825 41.065
2006-01-03 15906.5 1.20185 8.0735 116.165 1003.5 1.6513 32.65 40.755
2006-01-04 15905 1.2118 8.0722 116.1 997 1.6446 32.35 40.385
2006-01-05 15913 1.211 8.06735 115.925 988.5 1.6466 32.025 40.185
2006-01-09 15919 1.20895 8.0641 114.475 982.5 1.63645 31.965 39.695
2006-01-10 15907.5 1.20635 8.0672 114.335 982.5 1.634 32.025 39.885
2006-01-11 15918 1.21285 8.0682 114.155 985.5 1.6285 32.085 39.855
2006-01-12 15907.5 1.2036 8.069 114.375 974.5 1.62545 31.89 39.415
2006-01-16 15900.5 1.21275 8.0705 114.96 983.5 1.6349 31.935 39.535
2006-01-17 15906 1.21065 8.0665 115.47 989.5 1.6341 32.015 39.75
2006-01-18 15904.5 1.2113 8.0745 115.245 993.5 1.6298 32.135 39.415
2006-01-19 15907 1.20985 8.06955 115.375 985.5 1.6291 32.135 39.295
2006-01-23 15920 1.23055 8.0647 114.425 982.5 1.6213 32 39.125
2006-01-24 15923 1.22805 8.0614 114.69 977.5 1.62125 32 39.295
2006-01-25 15927 1.2241 8.0648 115.855 969.5 1.6237 31.98 39.065
2006-01-26 15925 1.22075 8.0652 116.455 970.5 1.6267 31.975 38.895
2006-01-30 15918 1.209 8.0616 117.6 974.5 1.6284 31.985 39.095
2006-01-31 15918 1.21565 8.0644 117.2 964.25 1.6219 31.955 38.925
2006-02-01 15917.5 1.20655 8.0644 118.03 967.5 1.6298 31.985 39.265
2006-02-02 15917.5 1.20915 8.0644 118.565 972.5 1.634 31.985 39.37
2006-02-06 15927 1.19675 8.0587 119.04 966 1.6299 32.17 39.455
2006-02-07 15925.5 1.1981 8.0619 117.945 970 1.628 32.227 39.53
2006-02-08 15925 1.19615 8.0577 118.515 973 1.632 32.42 39.7
2006-02-09 15929.5 1.19805 8.0595 118.84 972.5 1.63015 32.425 39.565
2006-02-13 15929.5 1.18955 8.0492 117.78 977.5 1.6294 32.425 39.215
2006-02-14 15929.5 1.1916 8.0502 117.39 970.5 1.62765 32.305 39.32
2006-02-15 15932.5 1.18895 8.0497 117.87 975.5 1.6291 32.35 39.315
2006-02-16 15932.5 1.1906 8.0532 117.595 976.5 1.635 32.43 39.345
2006-02-20 15924.5 1.19365 8.0525 118.26 968.5 1.6285 32.4 39.335
2006-02-21 15924.5 1.19125 8.0505 118.705 969.5 1.6307 32.49 39.435
2006-02-22 15915 1.19125 8.0475 118.55 975.5 1.6314 32.685 39.485
2006-02-23 15919 1.19185 8.0492 117.14 969.5 1.625 32.575 39.405
2006-02-27 15914 1.18485 8.0421 116.125 969.5 1.6226 32.46 39.215
2006-02-28 15910 1.19215 8.0402 115.76 971.5 1.6223 32.455 39.095
2006-03-01 15913 1.19225 8.0382 116.08 971.5 1.6181 32.325 38.99
2006-03-02 15904.5 1.20395 8.0395 115.89 970 1.6141 32.355 38.585
2006-03-06 15915 1.20165 8.0381 117.59 975.5 1.6279 32.48 38.81
2006-03-07 15915 1.18885 8.04395 117.86 977.5 1.6314 32.525 39.77
2006-03-08 15904 1.19245 8.0494 117.855 983.5 1.6318 32.545 39.145
2006-03-09 15907.5 1.19115 8.054 118.215 983.5 1.6301 32.575 39.145
2006-03-13 15905 1.19635 8.0505 118.735 981.8 1.62525 32.545 39.155
