"date" "neer" "usd" "cny" "eur" "jpy"
2006-05-31 94.0241945570149 15957.5 8.0263 1.28095 112.645
2006-06-01 94.0240973370274 15965.5 8.0235 1.28045 112.705
2006-06-05 93.7123025478512 15972.5 8.0105 1.2906 112.245
2006-06-06 93.9716180894154 15975 8.0141 1.2834 113.315
2006-06-07 94.2319059947662 15972.5 8.0212 1.2786 113.575
2006-06-08 94.6270212936403 15972.5 8.0212 1.2654 114.225
2006-06-12 94.7410914649034 15980.5 8.0205 1.2586 114.39
2006-06-13 94.9832813757039 15983 8.0035 1.2534 115.43
2006-06-14 94.7954451736273 15980 8.0005 1.2598 115.055
2006-06-15 94.6170365573463 15987 8.0015 1.2637 114.755
2006-06-19 94.9213737855288 15985 8.006 1.2575 115.545
2006-06-20 94.7369869203568 15989 8.0029 1.2579 114.97
2006-06-21 94.5935411333966 15988 7.997 1.2661 114.905
2006-06-22 94.8618315030925 15994 7.9964 1.258 116.115
2006-06-26 95.0078448032467 15993 8.002 1.2582 116.285
2006-06-27 94.9085204086448 15998 7.9983 1.2578 116.295
2006-06-28 94.9933731356489 15995 7.9984 1.2557 116.48
2006-06-29 94.6182160748113 15999.5 8.0005 1.2665 115.165
2006-07-03 94.0764507152383 16002.5 8.0033 1.2804 114.685
2006-07-04 94.0404920310086 16002.5 8.0033 1.2799 114.825
2006-07-05 94.4251525880471 15992 7.9958 1.2725 115.735
2006-07-06 94.3276230552467 15994.5 7.9985 1.278 115.135
2006-07-10 94.0156598549633 15992.5 7.9915 1.2727 114.335
2006-07-11 94.0637944900641 15990.5 7.9945 1.2774 114.255
2006-07-12 94.3723311838722 15991 7.9917 1.2705 115.505
2006-07-13 94.4290353738226 15992.5 7.995 1.269 115.395
2006-07-17 95.0793773114881 16004.5 8.0025 1.2518 117.245
2006-07-18 95.081639157271 16005.5 8.003 1.2505 117.325
2006-07-19 94.9294698304657 15998 8.0028 1.2587 116.895
2006-07-20 94.7601116869213 16002 7.992 1.2628 117.045
2006-07-24 94.7109229066628 16000.5 7.9905 1.2636 116.675
2006-07-25 94.875732485566 15996 7.9872 1.2578 117.235
2006-07-26 94.5593948837891 16001 7.9847 1.2713 116.365
2006-07-27 94.3968719691258 16004.5 7.979 1.2698 115.775
2006-07-31 94.1705804286709 16006 7.969 1.2767 114.635
2006-08-01 94.1071224704139 16012 7.9746 1.2822 114.635
2006-08-02 94.1718498537249 16010 7.9713 1.279 114.655
2006-08-03 94.2204216220842 16007.5 7.98 1.2803 115.015
2006-08-07 94.13900682187 16018 7.9689 1.2818 115.215
2006-08-08 94.1693411551758 16015 7.9732 1.2822 115.345
2006-08-09 94.1367882226905 16012.5 7.9795 1.2864 115.345
2006-08-10 94.0893772363616 16012.5 7.9745 1.2794 115.235
2006-08-14 94.5420694086611 16007.5 7.988 1.2723 116.625
2006-08-15 94.4523519411308 16002.5 8.005 1.2785 116.085
2006-08-16 94.2998418829103 16002.5 7.992 1.2843 115.835
2006-08-17 94.2034166246006 16006 7.9686 1.2828 116.035
2006-08-21 94.0499066609557 16012 7.9656 1.2886 115.945
2006-08-22 94.2646974627066 16012.5 7.971 1.2806 116.505
2006-08-23 94.2586402297409 16014.5 7.9723 1.2788 116.385
2006-08-24 94.4034933001157 16012.5 7.9745 1.2765 116.495
2006-08-28 94.5169860920888 16019 7.9707 1.2786 117.215
2006-08-29 94.3863538721639 16007.5 7.967 1.2829 116.635
2006-08-30 94.3913051148941 16011 7.9587 1.2838 117.115
2006-08-31 94.4198147778279 16014 7.9527 1.2806 117.375
2006-09-04 94.1073847284819 16007.5 7.943 1.2862 116.125
2006-09-05 94.054664741941 16016 7.9488 1.2818 116.125
2006-09-06 94.1310371823104 16023 7.9443 1.2805 116.645
2006-09-07 94.1340211225077 16027 7.941 1.2735 116.435
2006-09-11 94.5148824758012 16022 7.9542 1.2699 117.645
